Sentence,Entity,Output
I'm in the mood for 台式,Cuisine,台式
I love Argentín food,Cuisine,Argentín
Let's go for ပီဇာ,Cuisine,ပီဇာ
I have 716 to spend,Money,716
I'm willing to pay 628,Money,628
I can afford 25,Money,25
I'm in Taipei City,Location,Taipei City
Let's go for Hong Kong,Cuisine,Hong Kong
I have around 707 for the meal,Money,707
Currently in Taungoo,Location,Taungoo
I want to spend around 61,Money,61
Living in Phetchabun,Location,Phetchabun
I can afford 739,Money,739
I'm ready to spend 565,Money,565
I'm interested in Korean,Cuisine,Korean
I have around 834 for the meal,Money,834
Living in New Taipei City,Location,New Taipei City
Comilla is my home,Location,Comilla
My current Nakhon Pathom is Nakhon Pathom,Location,Nakhon Pathom
I'm in the mood for 健康餐,Cuisine,健康餐
I want to spend around 136,Money,136
I want to spend around 167,Money,167
I'm located in Bayan Baru,Location,Bayan Baru
Let's go for Fast Food,Cuisine,Fast Food
I want to try ခေါက်ဆွဲမျိုးစုံ,Cuisine,ခေါက်ဆွဲမျိုးစုံ
I have 828 to spend,Money,828
I can spend up to 53,Money,53
Pizza is my favorite,Cuisine,Pizza
I'm looking for 港式,Cuisine,港式
Steak is my favorite,Cuisine,Steak
Let's go for Thai,Cuisine,Thai
Let's go for Ázijská,Cuisine,Ázijská
In Budapest right now,Location,Budapest
My location is Nan,Location,Nan
Nasi Kerabu is my favorite,Cuisine,Nasi Kerabu
I can afford 919,Money,919
Madaripur is my current Madaripur,Location,Madaripur
Dumpling is my favorite,Cuisine,Dumpling
I want to spend around 814,Money,814
I'm craving Southeast Asian,Cuisine,Southeast Asian
From Taitung County here,Location,Taitung County
I want to spend around 580,Money,580
Hailing from Nakhon Phanom,Location,Nakhon Phanom
I am currently living in Kushtia,Location,Kushtia
I enjoy Leves,Cuisine,Leves
I'm looking for ပီဇာ,Cuisine,ပီဇာ
Changhua County is my location,Location,Changhua County
I want to try Salads,Cuisine,Salads
My location is Manila,Location,Manila
I'm ready to spend 353,Money,353
Let's go for Fagyi,Cuisine,Fagyi
I reside in Xiengkhuang,Location,Xiengkhuang
My current Narsingdi is Narsingdi,Location,Narsingdi
My home Prešov is Prešov,Location,Prešov
My home Taipei City is Taipei City,Location,Taipei City
I can spend up to 513,Money,513
I want to spend around 462,Money,462
I have around 654 for the meal,Money,654
I would like အိန္ဒိယအစားအစာ cuisine,Cuisine,အိန္ဒိယအစားအစာ
Sylhet is where I reside,Location,Sylhet
I'm looking for something within 845,Money,845
My budget is 303,Money,303
I'm craving Pares,Cuisine,Pares
Chachoengsao is my location,Location,Chachoengsao
I'm ready to spend 285,Money,285
I'm in Naogaon,Location,Naogaon
Living in Shah Alam,Location,Shah Alam
I have 225 to spend,Money,225
Miskolc is my place,Location,Miskolc
I'm looking for Indian,Cuisine,Indian
I'm ready to spend 500,Money,500
I have 747 to spend,Money,747
I'm ready to spend 983,Money,983
My home Seri Iskandar is Seri Iskandar,Location,Seri Iskandar
In Tangkak right now,Location,Tangkak
I can spend up to 807,Money,807
My home Multan is Multan,Location,Multan
I have around 429 for the meal,Money,429
I'm comfortable spending 415,Money,415
I'm craving ငါး,Cuisine,ငါး
I'm looking for Dezerty,Cuisine,Dezerty
I'm looking for Vietnamská,Cuisine,Vietnamská
Olasz is my favorite,Cuisine,Olasz
From Prachuap Khiri Khan here,Location,Prachuap Khiri Khan
Yala is where I reside,Location,Yala
I reside in Nyíregyháza,Location,Nyíregyháza
I'm looking for something within 966,Money,966
I'm willing to pay 532,Money,532
Malay is my favorite,Cuisine,Malay
I'm located in Bagerhat,Location,Bagerhat
I'm ready to spend 193,Money,193
I want to try Thajská,Cuisine,Thajská
I'm ready to spend 362,Money,362
My location is Naogaon,Location,Naogaon
How about Koreai,Cuisine,Koreai
I have around 920 for the meal,Money,920
My favorite is Continental,Cuisine,Continental
I'm looking for ຮາລາລ,Cuisine,ຮາລາລ
In Marikina right now,Location,Marikina
I can afford 409,Money,409
I have around 704 for the meal,Money,704
I can spend up to 738,Money,738
I'm ready to spend 103,Money,103
How about Alcoholic Drinks,Cuisine,Alcoholic Drinks
I can afford 340,Money,340
I have 894 to spend,Money,894
My favorite is ລາວ,Cuisine,ລາວ
I'm located in Kushtia,Location,Kushtia
I'm looking for Saláta,Cuisine,Saláta
I want to spend around 136,Money,136
I want to try Silog,Cuisine,Silog
My budget is 959,Money,959
My location is Bahawalpur,Location,Bahawalpur
Mexická is my favorite,Cuisine,Mexická
I want to try Rice Noodles,Cuisine,Rice Noodles
I'm looking for something within 190,Money,190
I'm looking for something within 495,Money,495
I want to spend around 284,Money,284
I live in Madaripur,Location,Madaripur
I can spend up to 483,Money,483
I'm looking for သရေစာများ,Cuisine,သရေစာများ
Living in Chittagong,Location,Chittagong
Sing Buri is my current Sing Buri,Location,Sing Buri
I am currently living in Sitiawan,Location,Sitiawan
I'm comfortable spending 529,Money,529
How about ပင်လယ်စာ,Cuisine,ပင်လယ်စာ
I want to spend around 673,Money,673
I enjoy Indonesian,Cuisine,Indonesian
My home Szombathely is Szombathely,Location,Szombathely
I want to spend around 88,Money,88
I'm located in Makati City,Location,Makati City
I'm willing to pay 961,Money,961
Krabi is my home,Location,Krabi
I want to spend around 859,Money,859
I have around 688 for the meal,Money,688
I live in Teluk Intan,Location,Teluk Intan
I enjoy BBQ,Cuisine,BBQ
I'm in the mood for Saláta,Cuisine,Saláta
I'm comfortable spending 375,Money,375
I'm craving အိန္ဒိယအစားအစာ,Cuisine,အိန္ဒိယအစားအစာ
I can spend up to 879,Money,879
I am currently living in Bintulu,Location,Bintulu
I'm willing to pay 151,Money,151
I want to try ပီဇာ,Cuisine,ပီဇာ
I am currently living in Kampong Chhnang,Location,Kampong Chhnang
How about ဆန်ပြုတ်,Cuisine,ဆန်ပြုတ်
I'm comfortable spending 737,Money,737
I'm looking for Noodles,Cuisine,Noodles
I'm willing to pay 946,Money,946
I want to spend around 128,Money,128
In Nan right now,Location,Nan
Trenčín is my current Trenčín,Location,Trenčín
My budget is 389,Money,389
From Mudon here,Location,Mudon
Drinks is my favorite,Cuisine,Drinks
I'm ready to spend 350,Money,350
I'm comfortable spending 328,Money,328
I'm willing to pay 498,Money,498
Kuala Kangsar is where I live,Location,Kuala Kangsar
Hailing from Gazipur,Location,Gazipur
I'm craving ဘာဂါများ,Cuisine,ဘာဂါများ
How about ဘာဂါများ,Cuisine,ဘာဂါများ
I'm looking for something within 262,Money,262
Let's go for Nasi Kandar,Cuisine,Nasi Kandar
Currently in Trang,Location,Trang
I can spend up to 615,Money,615
I live in Ubon Ratchathani,Location,Ubon Ratchathani
I have 870 to spend,Money,870
I'm in Sungai Petani,Location,Sungai Petani
I have 348 to spend,Money,348
I want to spend around 754,Money,754
I love Szendvics food,Cuisine,Szendvics
Let's go for ဘာဂါများ,Cuisine,ဘာဂါများ
I'm willing to pay 749,Money,749
I'm located in Koronadal South Cotabato,Location,Koronadal South Cotabato
I'm looking for something within 664,Money,664
I'm looking for Burgers,Cuisine,Burgers
From Mandaluyong City here,Location,Mandaluyong City
Banteay Meanchey is my current Banteay Meanchey,Location,Banteay Meanchey
I'm willing to pay 64,Money,64
I want to spend around 298,Money,298
My home Bintulu is Bintulu,Location,Bintulu
I reside in Kepala Batas,Location,Kepala Batas
I can spend up to 162,Money,162
I can afford 284,Money,284
I'm located in Mardan,Location,Mardan
I'm looking for Tea & Coffee,Cuisine,Tea & Coffee
I want to spend around 908,Money,908
My home Nakhon Si Thammarat is Nakhon Si Thammarat,Location,Nakhon Si Thammarat
I can afford 744,Money,744
Jamalpur is my location,Location,Jamalpur
How about ဂျပန်အစားအစာ,Cuisine,ဂျပန်အစားအစာ
I can afford 392,Money,392
My budget is 248,Money,248
Bogra is my home,Location,Bogra
My favorite is ပင်လယ်စာ,Cuisine,ပင်လယ်စာ
My budget is 850,Money,850
I can afford 738,Money,738
I want to try Southern Thai,Cuisine,Southern Thai
I want to spend around 359,Money,359
I'm looking for German,Cuisine,German
From Yunlin County here,Location,Yunlin County
I want to spend around 702,Money,702
I can afford 838,Money,838
I have 60 to spend,Money,60
I love Vietnamská food,Cuisine,Vietnamská
Siem Reap is my home,Location,Siem Reap
From Banská Bystrica here,Location,Banská Bystrica
I love Malay food,Cuisine,Malay
I'm willing to pay 426,Money,426
I can spend up to 59,Money,59
Samut Prakan is my location,Location,Samut Prakan
I'm in Melaka,Location,Melaka
I reside in Mymensingh,Location,Mymensingh
My budget is 310,Money,310
I have around 347 for the meal,Money,347
I can afford 236,Money,236
I want to try Pulao,Cuisine,Pulao
My location is Feni,Location,Feni
Sheikhupura is my home,Location,Sheikhupura
I'm in the mood for Nasi Kerabu,Cuisine,Nasi Kerabu
I can spend up to 724,Money,724
My home Melaka is Melaka,Location,Melaka
I can afford 952,Money,952
I'm looking for something within 149,Money,149
I'm in the mood for Thai,Cuisine,Thai
I'm looking for Vietnámi,Cuisine,Vietnámi
I want to try ອາຫານຟິວຊັນ,Cuisine,ອາຫານຟິວຊັນ
How about Indonesian,Cuisine,Indonesian
I have around 660 for the meal,Money,660
I'm looking for something within 115,Money,115
Samut Prakan is where I reside,Location,Samut Prakan
I want to try ຊານົມໄຂ່ມຸກ,Cuisine,ຊານົມໄຂ່ມຸກ
I have 768 to spend,Money,768
I have around 744 for the meal,Money,744
I'm willing to pay 38,Money,38
I would like ຕາເວັນອອກກາງ cuisine,Cuisine,ຕາເວັນອອກກາງ
I enjoy Kórejská,Cuisine,Kórejská
Living in Trang,Location,Trang
I'm in Keelung City,Location,Keelung City
I'm interested in Saláta,Cuisine,Saláta
How about Rice Noodles,Cuisine,Rice Noodles
I have around 526 for the meal,Money,526
I'm interested in Peranakan - Nyonya,Cuisine,Peranakan - Nyonya
Hailing from Dera Ghazi Khan,Location,Dera Ghazi Khan
I'm in the mood for Alcohol,Cuisine,Alcohol
My favorite is Chotpoti & Fuchka,Cuisine,Chotpoti & Fuchka
I reside in Lakshmipur,Location,Lakshmipur
My favorite is 甜點,Cuisine,甜點
I have 151 to spend,Money,151
I can spend up to 949,Money,949
Comilla is where I reside,Location,Comilla
I can spend up to 247,Money,247
I'm comfortable spending 960,Money,960
I want to spend around 265,Money,265
I reside in Putrajaya,Location,Putrajaya
I have around 684 for the meal,Money,684
Taipei City is my location,Location,Taipei City
I'm craving ເອີຣົບ,Cuisine,ເອີຣົບ
I would like Bakery cuisine,Cuisine,Bakery
I love American food,Cuisine,American
I would like Fries cuisine,Cuisine,Fries
I have 477 to spend,Money,477
Kuala Pilah is where I reside,Location,Kuala Pilah
My location is Borikhamxay,Location,Borikhamxay
I'm in Phra Nakhon Si Ayutthaya,Location,Phra Nakhon Si Ayutthaya
I would like Japanese cuisine,Cuisine,Japanese
I'm willing to pay 301,Money,301
My budget is 552,Money,552
I have around 765 for the meal,Money,765
I'm craving 飲料,Cuisine,飲料
I'm looking for Siu Mei,Cuisine,Siu Mei
I live in Terengganu,Location,Terengganu
I'm comfortable spending 222,Money,222
Kampong Cham is where I live,Location,Kampong Cham
I would like Greek cuisine,Cuisine,Greek
I enjoy ຊູຊິ,Cuisine,ຊູຊິ
I'm craving Kórejská,Cuisine,Kórejská
I'm willing to pay 543,Money,543
I want to try Koreai,Cuisine,Koreai
I can spend up to 463,Money,463
My home Kuala Kangsar is Kuala Kangsar,Location,Kuala Kangsar
Buriram is my current location,Location,Buriram
Isan Thai is my favorite,Cuisine,Isan Thai
Changhua County is my place,Location,Changhua County
I would like Sandwiches cuisine,Cuisine,Sandwiches
I have 352 to spend,Money,352
From Savannakhet here,Location,Savannakhet
I'm craving 歐美,Cuisine,歐美
I want to spend around 714,Money,714
I have 74 to spend,Money,74
I have around 123 for the meal,Money,123
I'm in Chon Buri,Location,Chon Buri
My location is Nyíregyháza,Location,Nyíregyháza
Moulvibazar is my place,Location,Moulvibazar
Bangkok is my current location,Location,Bangkok
I have 724 to spend,Money,724
I'm comfortable spending 865,Money,865
Hailing from Faisalabad,Location,Faisalabad
I have around 828 for the meal,Money,828
I'm located in Rawalpindi,Location,Rawalpindi
I love Mee Goreng food,Cuisine,Mee Goreng
In Bhola right now,Location,Bhola
I want to try 異國,Cuisine,異國
I'm willing to pay 279,Money,279
I'm craving Sinigang,Cuisine,Sinigang
I can spend up to 362,Money,362
I would like Chicken cuisine,Cuisine,Chicken
I'm ready to spend 89,Money,89
I love Malay food,Cuisine,Malay
I'm interested in Americká,Cuisine,Americká
I want to spend around 800,Money,800
歐美 is my favorite,Cuisine,歐美
I would like မလေးရှားအစားအစာ cuisine,Cuisine,မလေးရှားအစားအစာ
Karachi is my home,Location,Karachi
I'm comfortable spending 650,Money,650
Natore is my current Natore,Location,Natore
I would like သရေစာများ cuisine,Cuisine,သရေစာများ
I'm willing to pay 401,Money,401
Living in Brahmanbaria,Location,Brahmanbaria
Nyíregyháza is my place,Location,Nyíregyháza
Khammouane is my place,Location,Khammouane
I can spend up to 881,Money,881
I'm looking for something within 444,Money,444
I'm comfortable spending 531,Money,531
My current Bokeo is Bokeo,Location,Bokeo
In Nong Khai right now,Location,Nong Khai
My location is Arau,Location,Arau
I'm looking for Dim Sum,Cuisine,Dim Sum
I have around 535 for the meal,Money,535
My location is Feni,Location,Feni
I have 457 to spend,Money,457
Pabna is my current Pabna,Location,Pabna
Hailing from Saraburi,Location,Saraburi
I'm looking for something within 857,Money,857
My location is Savar,Location,Savar
My favorite is ကိုရီးယားအစားအစာ,Cuisine,ကိုရီးယားအစားအစာ
I'm ready to spend 262,Money,262
Borikhamxay is my current Borikhamxay,Location,Borikhamxay
I'm craving Bangladeshi,Cuisine,Bangladeshi
Currently in Chuadanga,Location,Chuadanga
Arau is my home,Location,Arau
I can spend up to 42,Money,42
I can afford 606,Money,606
Currently in Martin,Location,Martin
I am currently living in Krabi,Location,Krabi
Pasig City is my place,Location,Pasig City
I'm looking for ပီဇာ,Cuisine,ပီဇာ
I'm looking for something within 634,Money,634
Hailing from Jamalpur,Location,Jamalpur
တရုတ်အစားအစာ is my favorite,Cuisine,တရုတ်အစားအစာ
I have 631 to spend,Money,631
I'm comfortable spending 97,Money,97
I can afford 855,Money,855
My budget is 204,Money,204
I'm willing to pay 529,Money,529
Let's go for Chinese,Cuisine,Chinese
I'm willing to pay 151,Money,151
